term,category,mark,sentiment,type
приняла заказ,Service,Rel,positive,explicit
Обстановка в ресторане,Interior,Rel,positive,explicit
домашняя,Interior,Rel,positive,implicit
грязные тарелки исчезали со стола незаметно,Service,Rel,positive,fct
персонал,Service,Rel,positive,explicit
улыбчивые,Service,Rel,positive,implicit
ребята,Service,Rel,positive,explicit
кухне,Food,Rel,positive,explicit
палтус со шпинатом,Food,Rel,positive,explicit
нежного,Food,Rel,positive,implicit
палтуса,Food,Rel,positive,explicit
салат из запеченых овощей,Food,Rel,positive,explicit
сытые,Food,Rel,positive,implicit
десерты,Food,Rel,neutral,explicit
ужин,Food,Rel,positive,explicit
сытным,Food,Rel,positive,implicit
вкусняшками,Food,Rel,positive,implicit
панакота,Food,Rel,positive,explicit
заведении,Whole,Rel,positive,explicit
Марчеллисе,Whole,Rel,positive,explicit
отношения к детям,Service,Rel,positive,explicit
ресторане,Whole,Rel,positive,explicit
китайскую кухню,Food,Cmpr,positive,explicit
китайским ресторанчикам,Whole,Cmpr,neutral,explicit
деликатесов,Food,Cmpr,neutral,explicit
блюда,Food,Cmpr,negative,explicit
Дачу,Whole,Rel,neutral,explicit
вкусная,Food,Rel,positive,implicit
еда,Food,Rel,positive,explicit
красиво,Interior,Rel,positive,implicit
зал,Interior,Rel,positive,explicit
подошел официант,Service,Rel,positive,fct
официант,Service,Rel,positive,explicit
подолгу ждешь,Service,Cmpr,negative,fct
быстро,Service,Rel,positive,implicit
вежливо,Service,Rel,positive,implicit
Заказ,Service,Rel,positive,explicit
не пришлось оч долго ждать,Service,Rel,positive,fct
вечер прошел,Whole,Rel,positive,explicit
заведение,Whole,Rel,positive,explicit
место,Whole,Rel,positive,explicit
ребята,Service,Rel,positive,explicit
внимательные,Service,Rel,positive,implicit
гостеприимные,Service,Rel,positive,implicit
тебе всегда рады,Service,Rel,positive,fct
поужинать,Food,Rel,neutral,explicit
меню,Food,Rel,neutral,explicit
мисо суп,Food,Rel,positive,explicit
порция,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
Суши,Food,Rel,positive,explicit
из свежей рыбы,Food,Rel,positive,fct
рыбы,Food,Rel,positive,explicit
роллы,Food,Rel,positive,explicit
аккуратно сделаны,Food,Rel,positive,implicit
Салаты,Food,Rel,positive,explicit
свежие,Food,Rel,positive,implicit
порции,Food,Rel,positive,explicit
горячего,Food,Rel,neutral,explicit
утиную грудку гриль с фруктами,Food,Rel,positive,explicit
стейк из тунца,Food,Rel,positive,explicit
лосося со шпинатом,Food,Rel,positive,explicit
блюдо,Food,Rel,positive,explicit
Медальоны из телятины с овощами,Food,Rel,positive,explicit
объедение,Food,Rel,positive,implicit
рестораны,Whole,Cmpr,neutral,explicit
вкусно,Food,Rel,positive,implicit
поесть,Food,Rel,positive,explicit
место,Whole,Rel,positive,explicit
дешево,Price,Rel,positive,implicit
качественно,Food,Rel,positive,implicit
место,Whole,Rel,positive,explicit
персоналу,Service,Rel,positive,explicit
ресторане,Whole,Rel,neutral,explicit
Ресторан,Whole,Rel,positive,explicit
Красивый,Interior,Rel,positive,implicit
интерьер,Interior,Rel,positive,explicit
спокойная,Interior,Rel,positive,implicit
атмосфера,Interior,Rel,positive,explicit
приятной,Interior,Rel,positive,implicit
музыкой,Interior,Rel,positive,explicit
обходительный,Service,Rel,positive,implicit
вежливый,Service,Rel,positive,implicit
персонал,Service,Rel,positive,explicit
разрешили приносить свои напитки,Service,Rel,positive,fct
без пробкового сбора,Price,Rel,positive,implicit
сладости,Food,Cmpr,neutral,explicit
фрукты,Food,Cmpr,neutral,explicit
меню есть на выбор,Food,Rel,positive,fct
меню,Food,Rel,positive,explicit
помогли определиться,Service,Rel,positive,implicit
блюдами,Food,Rel,neutral,explicit
меню,Food,Rel,neutral,explicit
вкусно,Food,Rel,positive,implicit
упаковали в ланч-боксы,Service,Rel,positive,fct
приносить свою музыку,Service,Rel,positive,fct
комфортно,Interior,Rel,positive,implicit
администратору,Service,Rel,positive,explicit
обслуживал,Service,Rel,positive,explicit
подано,Service,Rel,positive,explicit
откликался на все наши просьбы,Service,Rel,positive,fct
персоналу ресторана,Service,Rel,positive,explicit
заведение,Whole,Rel,positive,explicit
АМАРЕНА,Whole,Rel,neutral,explicit
ресторане,Whole,Rel,neutral,explicit
ресторан,Whole,Rel,positive,explicit
удобно расположен,Whole,Rel,positive,implicit
встретили,Service,Rel,positive,explicit
провели к столику,Service,Rel,neutral,explicit
вручили меню,Service,Rel,neutral,explicit
с искренней улыбкой,Service,Rel,positive,implicit
администратор,Service,Rel,positive,explicit
дружелюбный,Service,Rel,positive,implicit
официант,Service,Rel,positive,explicit
еды,Food,Rel,neutral,explicit
Заведение,Whole,Rel,positive,explicit
интерьероом,Interior,Rel,positive,explicit
в теплых тонах,Interior,Rel,positive,implicit
Светлая мебель,Interior,Rel,positive,fct
комфортно,Interior,Rel,positive,implicit
уютно,Interior,Rel,positive,implicit
зал,Interior,Rel,positive,explicit
блюда,Food,Rel,positive,explicit
повару,Service,Rel,positive,explicit
Лосось,Food,Rel,positive,explicit
таял во рту,Food,Rel,positive,fct
салат Цезарь,Food,Rel,positive,explicit
десерте,Food,Rel,neutral,explicit
подача,Service,Rel,positive,explicit
местечко,Whole,Cmpr,positive,explicit
уютно,Interior,Cmpr,positive,implicit
не сильно шумно,Interior,Cmpr,positive,fct
кафе-барах,Whole,Cmpr,neutral,explicit
ресторан,Whole,Cmpr,neutral,explicit
паб,Whole,Cmpr,positive,explicit
выпивки,Food,Cmpr,positive,explicit
закуски,Food,Cmpr,positive,explicit
место,Whole,Rel,positive,explicit
заведении,Whole,Rel,neutral,explicit
свободный столик,Interior,Rel,positive,fct
Пиво,Food,Rel,neutral,explicit
коктейли,Food,Rel,positive,explicit
напитков,Food,Rel,positive,explicit
официантке,Service,Rel,positive,explicit
угадывала наши желания,Service,Rel,positive,fct
Обслуживание,Service,Rel,positive,explicit
Еда,Food,Rel,positive,explicit
вкусная,Food,Rel,positive,implicit
уютный,Interior,Rel,positive,implicit
стильный,Interior,Rel,positive,implicit
интерьер,Interior,Rel,positive,explicit
музыкальный фон,Interior,Rel,positive,explicit
&quot;радио&quot;,Whole,Rel,positive,explicit
повара,Service,Cmpr,neutral,explicit
заведение,Whole,Cmpr,neutral,explicit
рататуй,Food,Cmpr,neutral,explicit
Блюдо,Food,Cmpr,neutral,explicit
кухни,Food,Cmpr,neutral,explicit
рататуй,Food,Cmpr,neutral,explicit
интерьер,Interior,Rel,positive,explicit
сделано со вкусом,Interior,Rel,positive,implicit
встретили,Service,Rel,neutral,explicit
усадили за столик,Service,Rel,neutral,explicit
принесли меню,Service,Rel,neutral,explicit
меню,Food,Rel,positive,explicit
особукко,Food,Rel,neutral,explicit
баклажан,Food,Rel,neutral,explicit
домашнее красное вино,Food,Rel,neutral,explicit
комплимент от шеф-повара,Service,Rel,positive,explicit
салата,Food,Rel,neutral,explicit
Мясо,Food,Rel,positive,explicit
порция,Food,Rel,positive,explicit
съели,Food,Rel,neutral,explicit
Баклажан,Food,Rel,positive,explicit
нежный,Food,Rel,positive,implicit
запечен,Food,Rel,positive,explicit
Вкусное,Food,Rel,positive,implicit
домашнее вино,Food,Rel,positive,explicit
Обслуживание,Service,Rel,positive,explicit
внимательное,Service,Rel,positive,implicit
не навязчивое,Service,Rel,positive,implicit
ресторан итальянской кухни,Whole,Rel,positive,explicit
место,Whole,Rel,positive,explicit
заведении,Whole,Rel,neutral,explicit
посещений,Whole,Prev,positive,explicit
Приветливый,Service,Prev,positive,implicit
персонал,Service,Prev,positive,explicit
пива,Food,Prev,positive,explicit
выполнение заказа,Service,Prev,positive,explicit
пива,Food,Prev,positive,explicit
цене,Price,Prev,positive,explicit
вкуса,Food,Prev,positive,explicit
Столик заказал,Service,Rel,neutral,explicit
заказать,Service,Rel,neutral,explicit
пива,Food,Rel,neutral,explicit
только один сорт,Food,Rel,negative,fct
пива,Food,Rel,negative,explicit
через полчаса нам принесли заказанное пиво,Service,Rel,negative,fct
пиво,Food,Rel,neutral,explicit
официантку,Service,Rel,negative,explicit
удалось подозвать,Service,Rel,negative,fct
бокалы уже 10 минут были пусты,Service,Rel,negative,fct
заказать,Service,Rel,neutral,explicit
пива,Food,Rel,neutral,explicit
официатка,Service,Rel,neutral,explicit
пива больше нет,Service,Rel,negative,fct
заведение,Whole,Rel,negative,explicit
места,Whole,Cmpr,positive,explicit
не кончается через час,Food,Cmpr,positive,fct
обслуживающий персонал,Service,Cmpr,positive,explicit
не забывает про твой столик,Service,Cmpr,positive,fct
Глобуса,Whole,Rel,negative,explicit
кафе Dolce Italy,Whole,Rel,neutral,explicit
кофе,Food,Rel,neutral,explicit
пирожными,Food,Rel,neutral,explicit
кафе,Whole,Cmpr,neutral,explicit
ресторане,Whole,Rel,neutral,explicit
пирожные,Food,Rel,neutral,explicit
рестораном Italy,Whole,Rel,positive,explicit
вентиляция,Interior,Rel,positive,explicit
вентиляция справляется,Interior,Rel,positive,fct
Интерьер,Interior,Rel,positive,explicit
сделано со вкусом,Interior,Rel,positive,implicit
сервиса,Service,Rel,negative,explicit
официантка,Service,Rel,negative,explicit
про нас забыла,Service,Rel,negative,fct
вежливо,Service,Rel,positive,implicit
предупредительно,Service,Rel,positive,implicit
салату цезарь,Food,Rel,neutral,explicit
соус без анчоусов,Food,Rel,neutral,explicit
повар,Service,Rel,negative,explicit
лишь майонез,Food,Rel,negative,fct
майонез,Food,Rel,negative,explicit
соус,Food,Rel,negative,explicit
готовится утром одинаковый для всех,Food,Rel,negative,fct
место,Whole,Rel,positive,explicit
итальянских блюд,Food,Prev,neutral,explicit
ресторан,Whole,Cmpr,positive,explicit
2ом этаже,Interior,Rel,neutral,explicit
интерьер,Interior,Rel,positive,explicit
удобнее,Interior,Rel,positive,implicit
1ом этаже,Interior,Cmpr,negative,explicit
Порции,Food,Rel,negative,explicit
паста,Food,Rel,positive,explicit
вкусной,Food,Rel,positive,implicit
Обслуживание,Service,Rel,negative,explicit
готовят (или приносят??) заказ ОЧЕНЬ долго,Service,Rel,negative,fct
готовят,Service,Rel,negative,explicit
приносят,Service,Rel,negative,explicit
ресторан,Whole,Rel,neutral,explicit
Моджо,Whole,Irr,positive,explicit
местом,Whole,Irr,positive,explicit
ресторане,Whole,Rel,neutral,explicit
обслуживают,Service,Rel,negative,explicit
обслуживают там долго,Service,Rel,negative,fct
Хостес,Service,Rel,negative,explicit
ресторане,Whole,Rel,negative,explicit
встречать,Service,Rel,negative,explicit
принять заказ,Service,Rel,negative,explicit
Заказали по купону,Service,Rel,neutral,explicit
блюда,Food,Rel,neutral,explicit
второе блюдо я получила в 21:30,Service,Rel,negative,fct
провели вечер в ожидании,Service,Rel,negative,fct
музыка,Interior,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
ресторан,Whole,Rel,negative,explicit
обслуживанию,Service,Rel,neutral,explicit
администрации,Whole,Rel,negative,explicit
ресторан,Whole,Cmpr,neutral,explicit
официантов,Service,Rel,negative,explicit
поваров,Service,Rel,negative,explicit
ресторан,Whole,Rel,positive,explicit
меню,Food,Rel,positive,explicit
кухня,Food,Rel,positive,explicit
цены,Price,Rel,positive,explicit
шашлык,Food,Rel,positive,explicit
ассортимент блюд,Food,Rel,positive,explicit
Атмосфера,Interior,Rel,positive,explicit
домашняя,Interior,Rel,positive,implicit
уютная,Interior,Rel,positive,implicit
обстановка,Interior,Rel,positive,explicit
приветливый,Service,Rel,positive,implicit
персонал,Service,Rel,positive,explicit
развлекательная программа,Interior,Rel,positive,explicit
живая музыка,Interior,Rel,positive,explicit
музыканты не дали скучать,Interior,Rel,positive,fct
кальян,Food,Rel,positive,explicit
ценам,Price,Rel,positive,explicit
ресторане,Whole,Rel,neutral,explicit
Обслуживанием,Service,Rel,positive,explicit
скатерти меняют,Service,Rel,positive,fct
чисто,Interior,Rel,positive,implicit
Официанты,Service,Rel,positive,explicit
Порции,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
много посетителей,Interior,Rel,negative,fct
ресторан,Whole,Rel,positive,explicit
готовят очень долго,Service,Rel,negative,fct
Закуски,Food,Rel,neutral,explicit
салаты,Food,Rel,neutral,explicit
приносят быстро,Service,Rel,positive,fct
горячее,Food,Rel,neutral,explicit
нужно ждать,Service,Rel,negative,fct
принесли комплимент,Service,Rel,positive,fct
мороженое,Food,Rel,neutral,explicit
мороженое,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
уютный,Interior,Rel,positive,implicit
ресторан,Whole,Rel,positive,explicit
встретил,Service,Rel,neutral,explicit
мужчина,Service,Rel,positive,explicit
проводил в зал,Service,Rel,positive,fct
мужчину,Service,Rel,neutral,explicit
хозяин,Service,Rel,neutral,explicit
Встречающий гостей хозяин,Service,Rel,positive,fct
ресторан,Whole,Rel,positive,explicit
уютный,Interior,Rel,positive,implicit
столики маленькие,Interior,Rel,negative,fct
тесновато,Interior,Rel,negative,implicit
блюда,Food,Rel,neutral,explicit
Меню ресторана,Food,Rel,neutral,explicit
салатами,Food,Irr,neutral,explicit
вторыми блюдами,Food,Irr,neutral,explicit
кухня,Food,Rel,positive,explicit
блюда,Food,Rel,positive,explicit
изысканные,Food,Rel,positive,implicit
вкусные,Food,Rel,positive,implicit
мраморную говядину,Food,Rel,positive,explicit
ресторанах,Whole,Cmpr,neutral,explicit
Блюдо,Food,Rel,positive,explicit
нежнейшим,Food,Rel,positive,implicit
таяло во рту,Food,Rel,positive,implicit
Порции,Food,Rel,positive,explicit
съесть,Food,Rel,neutral,explicit
Ресторан,Whole,Rel,positive,explicit
уютный,Interior,Rel,positive,implicit
Обслуживание,Service,Rel,positive,explicit
кухня,Food,Rel,positive,explicit
вкусная,Food,Rel,positive,implicit
ресторан,Whole,Rel,neutral,explicit
не дешевый,Price,Rel,negative,implicit
цену,Price,Irr,negative,explicit
ресторан,Whole,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
вежливо,Service,Rel,positive,implicit
встречают,Service,Rel,positive,explicit
зал для курящих и не курящих,Interior,Rel,positive,fct
меню сразу на столе,Service,Rel,positive,fct
официант,Service,Rel,positive,explicit
зеленого чаю с жасмином,Food,Rel,neutral,explicit
не заставил себя ждать,Service,Rel,positive,fct
рис с угрем,Food,Rel,neutral,explicit
ролл Радужный,Food,Rel,neutral,explicit
первое блюдо,Food,Rel,neutral,explicit
сразу же принесли,Service,Rel,positive,fct
обслуживал,Service,Rel,positive,explicit
официант,Service,Rel,neutral,explicit
скорость подачи блюд,Service,Rel,positive,explicit
Расчет,Service,Rel,positive,explicit
До свидания на выходе сказали,Service,Rel,positive,fct
Официанты,Service,Rel,neutral,explicit
быстроту обслуживания,Service,Rel,positive,explicit
заведению,Whole,Rel,negative,explicit
кухней,Food,Rel,negative,explicit
сервиса,Service,Rel,positive,explicit
Ресторан,Whole,Rel,positive,explicit
ресторане,Whole,Rel,neutral,explicit
Кухня,Food,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
Не пришлось ждать,Service,Rel,positive,fct
ресторанах,Whole,Cmpr,negative,explicit
блюда,Food,Irr,neutral,explicit
шампанское,Food,Rel,neutral,explicit
вкусное,Food,Rel,positive,implicit
шампанское,Food,Rel,positive,explicit
не пришлось ждать очень долго,Service,Rel,positive,fct
кушали,Food,Rel,positive,explicit
кушали,Food,Rel,positive,explicit
едой,Food,Rel,positive,explicit
вкусной,Food,Rel,positive,implicit
ресторане,Whole,Rel,neutral,explicit
спокойно,Interior,Rel,positive,implicit
музыка,Interior,Rel,positive,explicit
спокойная,Interior,Rel,positive,implicit
ресторан,Whole,Cmpr,neutral,explicit
&quot;ТБИЛИСО&quot;,Whole,Rel,positive,explicit
заведения,Whole,Rel,positive,explicit
качество кухни,Food,Rel,positive,explicit
мест,Whole,Cmpr,positive,explicit
суши,Food,Rel,positive,explicit
роллы,Food,Rel,positive,explicit
готовят их быстро,Service,Rel,positive,fct
свежие,Food,Rel,positive,implicit
вкусные,Food,Rel,positive,implicit
сети ресторанов,Whole,Cmpr,neutral,explicit
ресторанах,Whole,Cmpr,neutral,explicit
сервиса,Service,Cmpr,positive,explicit
кухни,Food,Cmpr,positive,explicit
зале для некурящих,Interior,Rel,negative,explicit
бывает холодно,Interior,Rel,negative,fct
мороженое в кляре,Food,Rel,positive,explicit
горячее,Food,Rel,both,explicit
приносят и холодным,Food,Rel,negative,fct
Обслуживание,Service,Rel,positive,explicit
приносят все сразу,Service,Rel,negative,fct
суши,Food,Rel,neutral,explicit
суп,Food,Rel,neutral,explicit
десерт,Food,Rel,neutral,explicit
обслуживания,Service,Irr,positive,explicit
кухни,Food,Irr,positive,explicit
ресторан,Whole,Rel,positive,explicit
ресторан,Whole,Rel,neutral,explicit
китайскую кухню,Food,Cmpr,positive,explicit
Официантка,Service,Rel,negative,explicit
слушала,Service,Rel,negative,explicit
25 минутного ожидания,Service,Rel,negative,fct
принесли не то блюдо,Service,Rel,negative,fct
блюда китайской кухни,Food,Rel,negative,explicit
вкусного,Food,Irr,positive,implicit
Кухня,Food,Rel,negative,explicit
претензионная,Food,Rel,negative,implicit
не вкусная,Food,Rel,negative,implicit
в счет уже включены чаевые,Price,Rel,negative,fct
обслуживание,Service,Rel,negative,explicit
интерьер,Interior,Rel,positive,explicit
мебель,Interior,Rel,negative,explicit
заведение,Whole,Rel,negative,explicit
больше не пойдем,Whole,Rel,negative,fct
ресторане,Whole,Rel,neutral,explicit
официанту,Service,Rel,positive,explicit
вежлив,Service,Rel,positive,implicit
приветлив,Service,Rel,positive,implicit
салату Цезарю,Food,Rel,positive,explicit
пасту,Food,Rel,positive,explicit
пиццу,Food,Rel,positive,explicit
вкусное,Food,Rel,positive,implicit
вино,Food,Rel,positive,explicit
получили фруктовую тарелку,Service,Rel,positive,fct
интерьер,Interior,Rel,positive,explicit
стильный,Interior,Rel,positive,implicit
теплый,Interior,Rel,positive,implicit
уютный,Interior,Rel,positive,implicit
Зайдем еще,Whole,Rel,positive,fct
поужинать,Food,Rel,neutral,explicit
Столик не заказывали,Service,Rel,neutral,explicit
сервис,Service,Rel,positive,explicit
быстро подходят,Service,Rel,positive,fct
улябаются,Service,Rel,positive,implicit
Интерьер,Interior,Rel,positive,explicit
удобно,Interior,Rel,positive,implicit
Еда,Food,Rel,positive,explicit
Вкусно,Food,Rel,positive,implicit
не так дорого,Price,Rel,positive,implicit
Подача,Service,Rel,both,explicit
плова,Food,Rel,neutral,explicit
блюд из мяса,Food,Irr,positive,explicit
ресторане,Whole,Rel,neutral,explicit
шашлыку,Food,Rel,both,explicit
мяса,Food,Rel,both,explicit
кафе,Whole,Rel,positive,explicit
сделали ремонт,Interior,Rel,positive,fct
светло,Interior,Rel,positive,implicit
уютно,Interior,Rel,positive,implicit
Кухня,Food,Rel,positive,explicit
Обслуживание,Service,Rel,positive,explicit
персонал,Service,Rel,positive,explicit
внимателен,Service,Rel,positive,implicit
кафе,Whole,Rel,positive,explicit
кофе,Food,Rel,neutral,explicit
обстановке,Interior,Rel,positive,explicit
заведение,Whole,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
Обслуживание,Service,Rel,positive,explicit
на все вопросы официантка ответила,Service,Rel,positive,fct
официантка,Service,Rel,positive,explicit
кухни,Food,Rel,neutral,explicit
мороженное,Food,Rel,neutral,explicit
блинчиками с мясом,Food,Rel,positive,explicit
цены,Price,Rel,positive,explicit
интерьере,Interior,Rel,positive,explicit
качестве блюд,Food,Rel,positive,explicit
цены,Price,Irr,negative,explicit
Санторини,Whole,Rel,neutral,explicit
обслуживание,Service,Rel,positive,explicit
сами ни разу не наполняли себе бокалы,Service,Rel,positive,fct
за всем следил официант,Service,Rel,positive,fct
официант,Service,Rel,positive,explicit
Обслуживание,Service,Rel,positive,explicit
ненавязчивое,Service,Rel,positive,implicit
Все убирали,Service,Rel,positive,explicit
вовремя,Service,Rel,positive,implicit
еды,Food,Rel,neutral,explicit
съели,Food,Rel,both,explicit
вкусно,Food,Rel,positive,implicit
еды нехватило,Food,Rel,negative,fct
ресторан,Whole,Rel,neutral,explicit
покушали,Food,Cmpr,neutral,explicit
ценник,Price,Rel,negative,explicit
дороговат,Price,Rel,negative,implicit
вкусно,Food,Rel,positive,implicit
обслуживание,Service,Rel,positive,explicit
Санторини,Whole,Rel,positive,explicit
еда,Food,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
места для танцев,Interior,Rel,positive,explicit
персоналу,Service,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
официантки,Service,Rel,positive,explicit
рекомендацией блюд,Service,Rel,positive,fct
вид из окна,Interior,Rel,positive,explicit
кухня,Food,Rel,positive,explicit
Цена,Price,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
ресторанов,Whole,Cmpr,positive,explicit
&quot;BELLINI&quot;,Whole,Rel,positive,explicit
ресторане,Whole,Rel,neutral,explicit
кухней,Food,Rel,positive,explicit
интерьером,Interior,Rel,positive,explicit
обслуживанием,Service,Rel,positive,explicit
администрации,Service,Rel,positive,explicit
персоналу ресторана,Service,Rel,positive,explicit
шли навстречу нашим пожеланиям,Service,Rel,positive,fct
меню было за 4 т.р,Price,Rel,neutral,explicit
много еды на человека получилось,Food,Rel,positive,fct
еды,Food,Rel,positive,explicit
еда,Food,Rel,positive,explicit
горячие закуски,Food,Rel,positive,explicit
вторые блюда,Food,Rel,positive,explicit
Вкусно,Food,Rel,positive,implicit
Обслуживание,Service,Irn,positive,explicit
покушать,Food,Rel,neutral,explicit
Ресторан,Whole,Rel,neutral,explicit
Обслуживающего персонала,Service,Rel,negative,explicit
второй этаж,Interior,Rel,neutral,explicit
встретила,Service,Rel,neutral,explicit
девушка,Service,Rel,neutral,explicit
Девушка,Service,Rel,negative,explicit
не можем сесть где нравится,Service,Rel,negative,fct
ресторане,Whole,Rel,neutral,explicit
Кухня,Food,Rel,positive,explicit
Музыка,Interior,Rel,positive,explicit
заведение,Whole,Rel,neutral,explicit
интерьера,Interior,Rel,neutral,explicit
мест,Whole,Cmpr,positive,explicit
встретили,Service,Rel,positive,explicit
проводили к столику,Service,Rel,positive,explicit
официантка,Service,Rel,positive,explicit
приветливая,Service,Rel,positive,explicit
внимательная,Service,Rel,positive,implicit
работу она выполняла,Service,Rel,positive,explicit
кухни,Food,Rel,neutral,explicit
блюд,Food,Rel,positive,explicit
находки повара,Food,Rel,positive,implicit
на вкус,Food,Rel,negative,explicit
мясо,Food,Rel,negative,explicit
суховато,Food,Rel,negative,implicit
рыба,Food,Rel,negative,explicit
не досолена,Food,Rel,negative,implicit
спиртных напитках,Food,Rel,positive,explicit
Винная карта,Food,Rel,positive,explicit
качество вин,Food,Rel,positive,explicit
кафе,Whole,Rel,positive,explicit
кухня,Food,Rel,positive,explicit
порции,Food,Rel,positive,explicit
салаты,Food,Rel,positive,explicit
горячее,Food,Rel,positive,explicit
сытно,Food,Rel,positive,implicit
вкусно,Food,Rel,positive,implicit
цену,Price,Rel,positive,explicit
ненавязчивое,Service,Rel,positive,implicit
обслуживание,Service,Rel,positive,explicit
администратору,Service,Rel,positive,explicit
торт,Food,Rel,positive,explicit
кафе,Whole,Rel,positive,explicit
Уютно,Interior,Rel,positive,implicit
по-домашнему,Interior,Rel,positive,implicit
ресторан,Whole,Rel,neutral,explicit
Интерьер,Interior,Rel,positive,explicit
Кухня,Food,Rel,positive,explicit
музыкальный коллектив,Interior,Rel,positive,explicit
музыка,Interior,Rel,positive,explicit
обслуживанию,Service,Rel,positive,explicit
встретили,Service,Rel,positive,explicit
проводили за столик,Service,Rel,positive,explicit
VIP зоне,Interior,Rel,neutral,explicit
Официанты,Service,Rel,positive,explicit
не заставляли себя долго ждать,Service,Rel,positive,fct
вежливо,Service,Rel,positive,implicit
обходительно,Service,Rel,positive,implicit
место,Whole,Rel,positive,explicit
ресторан,Whole,Rel,neutral,explicit
паулайнере,Whole,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
вкусная,Food,Rel,positive,implicit
кухня,Food,Rel,positive,explicit
пиво,Food,Rel,positive,explicit
не возникало проблем с его заказом,Service,Rel,positive,fct
заказывали,Service,Rel,neutral,explicit
персонал,Service,Rel,positive,explicit
вежливый,Service,Rel,positive,implicit
не хамил,Service,Rel,positive,fct
не обсчитывал,Service,Rel,positive,fct
обслуживала,Service,Rel,positive,explicit
девушка Мария,Service,Rel,positive,explicit
приветливая,Service,Rel,positive,implicit
девушка,Service,Rel,positive,explicit
не было больше 2 окрков в пепельнице,Service,Rel,positive,fct
приветлива,Service,Rel,positive,implicit
посоянно к нам подходила,Service,Rel,positive,fct
навязчиво,Service,Rel,positive,implicit
горячее принесли через 15 минут после заказа,Service,Rel,positive,fct
горячее,Food,Rel,neutral,explicit
не ожидали такой оперативности,Service,Rel,positive,fct
место,Whole,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
заполненным на 70% в такой день,Whole,Rel,positive,fct
ресторанов,Whole,Cmpr,neutral,explicit
блюд,Food,Rel,neutral,explicit
кухня,Food,Rel,positive,explicit
обслуживанием,Service,Rel,positive,explicit
меню,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
разнообразно,Food,Rel,positive,implicit
Обслуживала,Service,Rel,positive,explicit
официантка,Service,Rel,positive,explicit
рассказала о составе чуть ли не каждого блюда,Service,Rel,positive,fct
блюда,Food,Rel,neutral,explicit
поинтересовалась о моих предпочтениях в еде,Service,Rel,positive,fct
еде,Food,Rel,neutral,explicit
посоветовала,Service,Rel,positive,explicit
интерьере,Interior,Rel,positive,explicit
музыка,Interior,Rel,positive,explicit
караоке-программа,Interior,Rel,positive,explicit
блюд,Food,Rel,neutral,explicit
салат из тунца,Food,Rel,neutral,explicit
салат из лисичек с кроличьей печенью,Food,Rel,neutral,explicit
салат из лосося,Food,Rel,positive,explicit
ресторане,Whole,Rel,neutral,explicit
банкетное меню,Food,Rel,neutral,explicit
богатый стол,Food,Irr,positive,implicit
администратор,Service,Rel,neutral,explicit
еды было мало,Food,Rel,negative,fct
еды,Food,Rel,negative,explicit
маленьких кусочков красной рыбы на здоровом блюде,Food,Rel,negative,fct
красной рыбы,Food,Rel,negative,explicit
посуда,Service,Rel,positive,explicit
оформление стола,Service,Rel,positive,explicit
рулетиками,Food,Rel,negative,explicit
рулетиками на огромном блюде,Food,Rel,negative,fct
10% за обслуживание,Price,Rel,negative,explicit
официант,Service,Rel,negative,explicit
алкоголя,Food,Rel,neutral,explicit
не успевал,Service,Rel,negative,implicit
сидели с пустыми бокалами,Service,Rel,negative,fct
не успевал,Service,Rel,negative,implicit
подать горячее и десерт,Service,Rel,negative,explicit
горячее,Food,Rel,neutral,explicit
десерт,Food,Rel,neutral,explicit
чай,Food,Rel,negative,explicit
остыл,Food,Rel,negative,implicit
десерт,Food,Rel,neutral,explicit
чаевые по желанию,Price,Cmpr,positive,fct
еды,Food,Cmpr,positive,explicit
поужинать,Food,Prev,positive,explicit
ресторане,Whole,Rel,neutral,explicit
зал набит,Interior,Rel,negative,fct
мест не было,Interior,Rel,negative,fct
хостесс,Service,Rel,positive,explicit
вежливо,Service,Rel,positive,implicit
предложила забронированный столик,Service,Rel,positive,fct
Обслуживание,Service,Rel,positive,explicit
персонал,Service,Rel,positive,explicit
вежливый,Service,Rel,positive,implicit
заказы приносят,Service,Rel,positive,explicit
быстро,Service,Rel,positive,implicit
Цены,Price,Rel,positive,explicit
пиво,Food,Rel,neutral,explicit
Еда,Food,Rel,positive,explicit
вкусная,Food,Rel,positive,implicit
сытная,Food,Rel,positive,implicit
пианино,Interior,Rel,positive,explicit
ресторане,Whole,Rel,positive,explicit
Ужинали,Food,Rel,neutral,explicit
2 этаже,Interior,Rel,neutral,explicit
