class	query	query_parsed	infinitive
1	касметика	S,жен,неод=им,ед 	0
1	народное ополчение донбасса	A=(вин,ед,полн,сред|им,ед,полн,сред) S,сред,неод=(вин,ед|им,ед) S,гео,муж,неод=род,ед 	0
1	санитарные правила по особо опасным инфекциям	A=(вин,мн,полн,неод|им,мн,полн) S,сред,неод=(вин,мн|род,ед|им,мн) PR= ADV= A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,жен,неод=дат,мн 	0
1	tremonti		0
1	каменка ленинградская область	S,жен,неод=им,ед A=им,ед,полн,жен S,жен,неод=(вин,ед|им,ед) 	0
1	сопрано	S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	чепурной андрей геннадьевич	S,фам,жен,од=(пр,ед|дат,ед|род,ед|твор,ед) S,имя,муж,од=им,ед S,отч,муж,од=им,ед 	0
1	капли вотчала	S,жен,неод=(вин,мн|род,ед|им,мн) S,муж,неод=род,ед 	0
1	красный гигант бетельгейзе	A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) S,фам,мж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	болезни провоцируемые сильным выделением пота	S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,несов,пе=(непрош,вин,мн,прич,полн,страд,неод|непрош,им,мн,прич,полн,страд) A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,сред,неод=твор,ед S,муж,неод=род,ед 	0
1	туапсе	S,гео,ед,неод=(им,муж|вин,сред|им,сред|род,муж|род,сред|пр,муж|пр,сред|дат,муж|дат,сред|твор,муж|твор,сред|вин,муж) 	0
1	damian marley		0
1	святой праведный алексий гнеушев	A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,имя,муж,од=им,ед S,фам,муж,од=им,ед 	0
1	монастыри черногории	S,муж,неод=(вин,мн|им,мн) S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	0
1	фабула это	S,жен,неод=им,ед SPRO,ед,сред,неод=(вин|им) 	0
1	население городов россии	S,сред,неод=(вин,ед|им,ед) S,муж,неод=род,мн S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	0
1	иньеста	S,сред,неод=(вин,мн|род,ед|им,мн) 	0
1	аллегрова	S,фам,жен,од=им,ед 	0
1	анна хилькевич фото	S,имя,жен,од=им,ед S,фам,жен,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	аконкагуа	S,гео,жен,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	аватар легенда о корре	S,муж,неод=(вин,ед|им,ед) S,жен,неод=им,ед PR= S,жен,неод=(пр,ед|дат,ед) 	0
1	аутсайдеры это	S,муж,од=им,мн PART= 	0
1	чеширский кот вики	A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,од=им,ед S,жен,неод=(вин,мн|род,ед|им,мн) 	0
1	червоное	S,гео,ед,муж,неод=пр 	0
1	к 701	S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	где на удостоверении номер документа	ADVPRO= PR= S,сред,неод=пр,ед S,муж,неод=(вин,ед|им,ед) S,муж,неод=род,ед 	0
1	гаспачо	S,муж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	противостояние азия в огне	S,сред,неод=(вин,ед|им,ед) S,гео,жен,неод=им,ед PR= S,муж,неод=пр,ед 	0
1	dani carvajal		0
1	фармацевт	S,муж,од=им,ед 	0
1	я робот	SPRO,ед,1-л=им S,муж,од=им,ед 	0
1	ny presbyterian columbia		0
1	спитамен	ADV= 	0
1	меласса свекловичная	S,жен,неод=им,ед A=им,ед,полн,жен 	0
1	как зовут убийцу из фидбма ужасов пятница 13	CONJ= V,несов,пе=непрош,мн,изъяв,3-л S,мж,од=вин,ед PR= S,мн,неод=(вин|им) S,муж,неод=род,мн S,жен,неод=им,ед 	0
1	пушкин	S,фам,муж,од=им,ед 	0
1	марки асфальтобетонных смесей	S,жен,неод=(вин,мн|род,ед|им,мн) A,полн=(пр,мн|род,мн|вин,мн,од) S,жен,неод=род,мн 	0
1	точь в точь википедия	S,жен,неод=(вин,ед|им,ед) PR= S,жен,неод=(вин,ед|им,ед) S,жен,неод=им,ед 	0
1	нетреба колюча	S,муж,неод=род,ед A=ед,кр,жен 	0
1	матье кассовиц	S,имя,муж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,жен,неод=род,мн 	0
1	почтовая карточка нехудожественная гост	A=им,ед,полн,жен S,жен,неод=им,ед A=им,ед,полн,жен S,муж,неод=(вин,ед|им,ед) 	0
1	волчонок	S,муж,од=им,ед 	0
1	лидия гриценко	S,имя,жен,од=им,ед S,фам,мж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	яччейстого бетона	S,фам,муж,од=(вин,ед|род,ед) S,муж,неод=род,ед 	0
1	linkedin что это	SPRO,ед,сред,неод=(вин|им) SPRO,ед,сред,неод=(вин|им) 	0
1	война грузии с осетией 2008	S,жен,неод=им,ед S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) PR= S,гео,жен,неод=твор,ед 	0
1	юровский	A=(вин,ед,полн,муж,неод|им,ед,полн,муж) 	0
1	карелия	S,гео,жен,неод=им,ед 	0
1	летняя универсиада 2015	A=им,ед,полн,жен S,жен,неод=им,ед 	0
1	екатерина стриженова	S,имя,жен,од=им,ед S,фам,жен,од=им,ед 	0
1	kevin costner		0
1	чатрулет	S,муж,неод=(вин,ед|им,ед) 	0
1	28 панфиловцев	S,муж,од=(вин,мн|род,мн) 	0
1	билли пайпер	S,имя,муж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,од=им,ед 	0
1	oldboy		0
1	какова площадь украины	APRO,кр=ед,жен S,жен,неод=(вин,ед|им,ед) S,гео,жен,неод=(вин,мн|род,ед|им,мн) 	0
1	донецкий медицинский	A=(вин,ед,полн,муж,неод|им,ед,полн,муж) A=(вин,ед,полн,муж,неод|им,ед,полн,муж) 	0
1	беспорядки в краснодаре лето 2015	S,муж,неод=(вин,мн|им,мн) PR= S,гео,муж,неод=пр,ед S,ед,сред,неод=(вин|им) 	0
1	переводчик гугл	S,муж,од=им,ед S,ед,муж,неод=(вин|им) 	0
1	фиксики википедия	S,жен,неод=(вин,мн|род,ед|им,мн) S,жен,неод=им,ед 	0
1	сифивида	S,муж,од=(вин,ед|род,ед) 	0
1	crjkmrj лет мадонне	S,муж,неод=род,мн S,жен,од=(пр,ед|дат,ед) 	0
1	советские пускатели	A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) 	0
1	назарбаев	S,фам,муж,од=им,ед 	0
1	fxa studio		0
1	памуккале	S,имя,муж,од=пр,ед 	0
1	роман индык	S,муж,неод=(вин,ед|им,ед) S,гео,муж,неод=(вин,ед|им,ед) 	0
1	twenty one pilots blurryface		0
1	troll tale		0
1	дэбак что это	S,муж,неод=(вин,ед|им,ед) CONJ= SPRO,ед,сред,неод=(вин|им) 	0
1	февронья и петр муромские	S,имя,жен,од=им,ед CONJ= S,имя,муж,од=им,ед S,фам,муж,од=им,мн 	0
1	вадим зеланд	S,имя,муж,од=им,ед S,имя,муж,од=им,ед 	0
1	церковь в марьино	S,жен,неод=(вин,ед|им,ед) PR= S,гео,ед,сред,неод=(пр|вин|дат|род|твор|им) 	0
1	иллиада	S,имя,жен,од=им,ед 	0
1	картинки абакус косточки	S,жен,неод=(вин,мн|род,ед|им,мн) S,муж,од=им,ед S,жен,неод=(вин,мн|род,ед|им,мн) 	0
1	цска	S,ед,муж,неод=(пр|вин|дат|род|твор|им) 	0
1	аутоиммунный тиреоидит щитовидной железы	A,полн=(вин,ед,муж,неод|им,ед,муж) S,муж,неод=(вин,ед|им,ед) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(вин,мн|род,ед|им,мн) 	0
1	киберспорт	S,муж,неод=(вин,ед|им,ед) 	0
1	лошак и мул википедия	S,муж,од=им,ед CONJ= S,муж,од=им,ед S,жен,неод=им,ед 	0
1	форд джити	S,муж,неод=(вин,ед|им,ед) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	0
1	промышленность ульяновской области	S,жен,неод=(вин,ед|им,ед) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	0
1	гугл	S,ед,муж,неод=(вин|им) 	0
1	rpg онлайн игры морские сражения второй мировой	A,reserved=(пр,мн|дат,мн|род,мн|твор,мн|им,мн|им,ед,жен|вин,ед,муж,од|род,ед,муж|род,ед,сред|вин,ед,сред|им,ед,сред|пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен|пр,ед,муж|пр,ед,сред|дат,ед,муж|дат,ед,сред|вин,ед,жен|вин,мн,неод|вин,ед,муж,неод|им,ед,муж|твор,ед,муж|твор,ед,сред|вин,мн,од) S,жен,неод=(вин,мн|род,ед|им,мн) A,полн=(им,мн|вин,мн,неод) S,сред,неод=(вин,мн|род,ед|им,мн) ANUM=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен|вин,ед,муж,неод|им,ед,муж) A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) 	0
1	14 футов	S,муж,неод=род,мн 	0
1	бобуйн	ADV= 	0
1	игра с мячом и битами	S,жен,неод=им,ед PR= S,муж,неод=твор,ед CONJ= S,муж,неод=твор,мн 	0
1	лекции о понятии варны	S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) PR= S,сред,неод=пр,ед S,гео,жен,неод=(вин,мн|род,ед|им,мн) 	0
1	лера кудрявцева биография	S,имя,жен,од=им,ед S,фам,муж,од=(вин,ед|род,ед) S,жен,неод=им,ед 	0
1	кошма	S,жен,неод=им,ед 	0
1	виктор кислый	S,имя,муж,од=им,ед A=(вин,ед,полн,муж,неод|им,ед,полн,муж) 	0
1	що означа лол	V,несов,пе=непрош,деепр S,имя,жен,од=(вин,мн|род,мн) 	0
1	апноэ что это	S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) CONJ= SPRO,ед,сред,неод=(вин|им) 	0
1	спидтест нет	S,муж,неод=(вин,ед|им,ед) ADV,прдк= 	0
1	еп зоот я	S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) SPRO,ед,1-л=им 	0
1	ганибалы	S,имя,муж,од=им,мн 	0
1	филипповский переулок	S,фам,муж,од=им,ед S,муж,неод=(вин,ед|им,ед) 	0
1	фальшион	S,муж,неод=(вин,ед|им,ед) 	0
1	валентина панина википедия	S,имя,жен,од=им,ед A,полн,притяж=(им,ед,жен|вин,ед,муж,од|род,ед,муж|род,ед,сред) S,жен,неод=им,ед 	0
1	эминем	V,сов,пе=(непрош,мн,изъяв,1-л|мн,пов,1-л) 	0
1	пов домлення державно служби укра ни з питань безпечност харчових продукт в та захисту прав споживач в	S,фам,муж,од=им,ед A=ед,кр,жен ADV= S,неод=(род,ед,муж|род,ед,сред|вин,ед,сред|им,ед,сред|пр,ед,муж|пр,ед,сред|дат,ед,муж|дат,ед,сред|им,ед,муж|твор,ед,муж|твор,ед,сред|пр,мн,сред|вин,мн,сред|дат,мн,сред|род,мн,сред|твор,мн,сред|им,мн,сред|пр,мн,муж|вин,мн,муж|вин,ед,муж|дат,мн,муж|род,мн,муж|твор,мн,муж|им,мн,муж) S,имя,муж,од=(вин,ед|род,ед) CONJ= S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,имя,жен,од=(вин,мн|род,мн) S,муж,од=им,ед S,фам,жен,од=(пр,мн|вин,мн|род,мн) S,муж,неод=(вин,ед|им,ед) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) APRO=им,ед,жен S,муж,од=дат,ед A=ед,кр,муж S,муж,неод=(вин,ед|им,ед) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	аркаим	S,имя,жен,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	караченцов николай сегодня умер	S,фам,муж,од=им,ед S,имя,муж,од=им,ед ADV= V,нп=прош,ед,изъяв,муж,сов 	0
1	егор бероев википедия	S,имя,муж,од=им,ед S,муж,од=(вин,мн|род,мн) S,жен,неод=им,ед 	0
1	тигровые акулы	A=(вин,мн,полн,неод|им,мн,полн) S,жен,од=(род,ед|им,мн) 	0
1	фибрилляция сердца	S,жен,неод=им,ед S,сред,неод=(вин,мн|род,ед|им,мн) 	0
1	вуди аллен	S,имя,муж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,имя,муж,од=им,ед 	0
1	фекла толстая википедия	S,имя,жен,од=им,ед A=им,ед,полн,жен S,жен,неод=им,ед 	0
1	коллективный договор	A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) 	0
1	юбилейный город	A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) 	0
1	металкор это	ADV= SPRO,ед,сред,неод=(вин|им) 	0
1	охотник за головами	S,муж,од=им,ед PR= S,жен,неод=твор,мн 	0
1	эмпатия википедия	S,жен,неод=им,ед S,жен,неод=им,ед 	0
1	кубок конкааф	S,муж,неод=(вин,ед|им,ед) S,муж,неод=(вин,ед|им,ед) 	0
1	фото дом и семья имнгали тасмагамбетова астана	S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=(вин,ед|им,ед) CONJ= S,жен,неод=им,ед S,муж,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,фам,муж,од=(вин,ед|род,ед) S,жен,неод=им,ед 	0
1	испания торревьеха	S,гео,жен,неод=им,ед S,муж,неод=(вин,мн|род,ед|им,мн) 	0
1	априоре это	S,ед,жен,неод=(пр|дат) SPRO,ед,сред,неод=(вин|им) 	0
1	леова	S,гео,ед,сред,неод=род 	0
1	джилиан андерсон википедия	S,имя,жен,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,фам,муж,од=им,ед S,жен,неод=им,ед 	0
1	губкин и.м	S,фам,муж,од=им,ед CONJ= S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	джеймс рамсей макдональд	S,фам,муж,од=им,ед S,муж,од=им,ед S,имя,муж,од=им,ед 	0
1	в.аксенов	PR= S,фам,муж,од=им,ед 	0
1	радиостанция орфей в интернете	S,жен,неод=им,ед S,имя,муж,од=им,ед PR= S,муж,неод=пр,ед 	0
1	ольга баталина	S,имя,жен,од=им,ед S,фам,жен,од=им,ед 	0
1	сказочные герои	A=(вин,мн,полн,неод|им,мн,полн) S,муж,од=им,мн 	0
1	должность путина	S,жен,неод=(вин,ед|им,ед) S,фам,муж,од=(вин,ед|род,ед) 	0
1	карта д нижнее городище частинского района пермский край	S,жен,неод=им,ед S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) A=(вин,ед,полн,сред|им,ед,полн,сред) S,сред,неод=(пр,ед|вин,ед|им,ед) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) 	0
1	камалиев берик сайлауович	S,имя,муж,од=(вин,мн|род,мн) S,имя,муж,од=им,ед S,муж,од=им,ед 	0
1	седая волосы	A=им,ед,полн,жен S,муж,неод=(вин,мн|им,мн) 	0
1	тахион	S,муж,неод=(вин,ед|им,ед) 	0
1	николай цискаридзе	S,имя,муж,од=им,ед S,фам,мж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	список умерших в 2015 году википедия	S,муж,неод=(вин,ед|им,ед) V,нп=(прош,пр,мн,прич,полн,сов,действ|прош,род,мн,прич,полн,сов,действ|прош,вин,мн,прич,полн,сов,действ,од) PR= S,муж,неод=(дат,ед|местн,ед) S,жен,неод=им,ед 	0
1	что относится к объектам социальной инфраструктуры	CONJ= V,нп=непрош,ед,изъяв,3-л,несов PR= S,муж,неод=дат,мн A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(вин,мн|род,ед|им,мн) 	0
1	солнце	S,сред,неод=(пр,ед|вин,ед|им,ед) 	0
1	седьмого дня	ANUM=(вин,ед,муж,од|род,ед,муж|род,ед,сред) S,муж,неод=род,ед 	0
1	долина лариса википедия	S,жен,неод=им,ед S,имя,жен,од=им,ед S,жен,неод=им,ед 	0
1	ольга бузова	S,имя,жен,од=им,ед S,фам,муж,од=(вин,ед|род,ед) 	0
1	американка скокер споинель	S,жен,од=им,ед S,муж,од=им,ед S,муж,од=им,ед 	0
1	геометрические и структурные изомеры	A=(вин,мн,полн,неод|им,мн,полн) CONJ= A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) 	0
1	майнкрафт	S,муж,неод=(вин,ед|им,ед) 	0
1	микоплазма хоминик	S,жен,неод=им,ед S,имя,муж,од=им,ед 	0
1	ятрогения в медицине	S,жен,неод=им,ед PR= S,жен,неод=(пр,ед|дат,ед) 	0
1	старобешевская	S,фам,жен,од=им,ед 	0
1	генерал лапыгин	S,муж,од=им,ед S,муж,од=им,ед 	0
1	исус хрестос супер звезда	S,имя,муж,од=им,ед S,муж,од=им,ед A,reserved=(пр,мн|дат,мн|род,мн|твор,мн|им,мн|им,ед,жен|вин,ед,муж,од|род,ед,муж|род,ед,сред|вин,ед,сред|им,ед,сред|пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен|пр,ед,муж|пр,ед,сред|дат,ед,муж|дат,ед,сред|вин,ед,жен|вин,мн,неод|вин,ед,муж,неод|им,ед,муж|твор,ед,муж|твор,ед,сред|вин,мн,од) S,жен,неод=им,ед 	0
1	синдром дауна википедия	S,муж,неод=(вин,ед|им,ед) S,муж,неод=род,ед S,жен,неод=им,ед 	0
1	долгопрудный	S,гео,муж,неод=(вин,ед|им,ед) 	0
1	леонардо да винчи	S,имя,муж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) PART= S,фам,мж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	анджелина джоли	S,имя,жен,од=им,ед S,фам,мж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	паук википедия	S,муж,од=им,ед S,жен,неод=им,ед 	0
1	chkdsk		0
1	петр машеров	S,имя,муж,од=им,ед S,фам,муж,од=им,ед 	0
1	артур флегенхаймер	S,имя,муж,од=им,ед S,муж,неод=(вин,ед|им,ед) 	0
1	константин райкин биография	S,имя,муж,од=им,ед S,фам,муж,од=им,ед S,жен,неод=им,ед 	0
1	пик черского	S,муж,неод=(вин,ед|им,ед) S,фам,муж,од=(вин,ед|род,ед) 	0
1	jamiroquai википедия	S,жен,неод=им,ед 	0
1	yfujhysq rfhf f		0
1	сосудисто вегетативная дистония	A=ед,кр,сред A=им,ед,полн,жен S,гео,жен,неод=им,ед 	0
1	максим аверин	S,имя,муж,од=им,ед S,фам,муж,од=им,ед 	0
1	женитьба гоголь	S,жен,неод=им,ед S,муж,од=им,ед 	0
1	ирина фарион википедия	S,имя,жен,од=им,ед S,муж,неод=(вин,ед|им,ед) S,жен,неод=им,ед 	0
1	адыгея майкоп	S,гео,жен,неод=им,ед S,гео,муж,неод=(вин,ед|им,ед) 	0
1	греция	S,гео,жен,неод=им,ед 	0
1	микронезия	S,гео,жен,неод=им,ед 	0
1	тейлор кинни	S,имя,муж,од=им,ед S,имя,мж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	нартай бекежанов атында ы драма театры	S,гео,муж,неод=(вин,ед|им,ед) S,имя,муж,од=(вин,мн|род,мн) S,гео,жен,неод=им,ед S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,жен,неод=им,ед S,муж,неод=(вин,мн|им,мн) 	0
1	сергей баталов википедия	S,имя,муж,од=им,ед S,фам,муж,од=им,ед S,жен,неод=им,ед 	0
1	теория множеств	S,жен,неод=им,ед S,сред,неод=род,мн 	0
1	терминатор 2 википедия	S,муж,неод=(вин,ед|им,ед) S,жен,неод=им,ед 	0
1	рор	S,муж,неод=(вин,ед|им,ед) 	0
1	shadow the hedgehog		0
1	дженсен эклз	S,фам,муж,од=им,ед S,гео,муж,неод=(вин,ед|им,ед) 	0
1	космос	S,муж,неод=(вин,ед|им,ед) 	0
1	белиз	S,гео,муж,неод=(вин,ед|им,ед) 	0
1	милые обманщицы	A=(вин,мн,полн,неод|им,мн,полн) S,жен,од=(род,ед|им,мн) 	0
1	юар	S,гео,жен,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	елена беркова	S,имя,жен,од=им,ед S,фам,муж,од=(вин,ед|род,ед) 	0
1	bunge		0
1	все книги бориса акунина про эрата фандорина	APRO=(им,мн|вин,ед,сред|им,ед,сред|вин,мн,неод) S,жен,неод=(вин,мн|род,ед|им,мн) S,имя,муж,од=(вин,ед|род,ед) S,фам,муж,од=(вин,ед|род,ед) PR= S,муж,неод=род,ед S,фам,муж,од=(вин,ед|род,ед) 	0
1	шоном бином	S,муж,неод=твор,ед S,муж,неод=(вин,ед|им,ед) 	0
1	вики	S,жен,неод=(вин,мн|род,ед|им,мн) 	0
1	12		0
1	битлз	S,мн,неод=(пр|вин|дат|род|твор|им) 	0
1	дженис джоплин	S,имя,жен,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=(вин,ед|им,ед) 	0
1	рассвет ростовская область	S,муж,неод=(вин,ед|им,ед) A=им,ед,полн,жен S,жен,неод=(вин,ед|им,ед) 	0
1	avito.ru		0
1	рнн налогоплательщиков казахстана	S,муж,од=(вин,мн|род,мн) S,гео,муж,неод=род,ед 	0
1	елена бонем картер	S,имя,жен,од=им,ед S,жен,од=(вин,мн|род,мн) S,муж,неод=(вин,ед|им,ед) 	0
1	эгалитаризм	S,муж,неод=(вин,ед|им,ед) 	0
1	сергей жигунов	S,имя,муж,од=им,ед S,фам,муж,од=им,ед 	0
1	wijnaldum		0
1	nfkmr xnj nj		0
1	pink floyd		0
1	сторожевой корабль корал	A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,муж,неод=(вин,ед|им,ед) V,сов,нп=прош,ед,изъяв,муж 	0
1	донжуан	S,муж,од=им,ед 	0
1	рецессивные мутации	A=(вин,мн,полн,неод|им,мн,полн) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	0
1	ученый в инвалидном кресле	S,муж,од=им,ед PR= A=(пр,ед,полн,муж|пр,ед,полн,сред) S,сред,неод=пр,ед 	0
1	большой готторпский гло	A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	владиир борисович фриске	S,имя,муж,од=им,ед S,отч,муж,од=им,ед S,фам,мж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	0
1	oliy o quv yurtlari		0
1	иньеста	S,сред,неод=(вин,мн|род,ед|им,мн) 	0
1	азооспермии	S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	0
1	луи томлинсон википедия	S,имя,муж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,фам,муж,од=им,ед S,жен,неод=им,ед 	0
1	фирма trimble	S,жен,неод=им,ед 	0
1	фонд династия википедия	S,муж,неод=(вин,ед|им,ед) S,жен,неод=им,ед S,жен,неод=им,ед 	0
1	михаил заяц	S,имя,муж,од=им,ед S,муж,од=им,ед 	0
1	chelentano		0
1	credit card generator		0
1	саммит это википедия	S,муж,неод=(вин,ед|им,ед) PART= S,жен,неод=им,ед 	0
1	дмитрий крылов непутевые заметки	S,имя,муж,од=им,ед S,фам,муж,од=им,ед A=(вин,мн,полн,неод|им,мн,полн) S,жен,неод=(вин,мн|род,ед|им,мн) 	0
1	пломатериал	S,муж,неод=(вин,ед|им,ед) 	0
1	висим свердловская область	V,несов,нп=непрош,мн,изъяв,1-л A=им,ед,полн,жен S,жен,неод=(вин,ед|им,ед) 	0
1	александром жулиным	S,имя,муж,од=твор,ед S,фам,муж,од=(дат,мн|твор,ед) 	0
1	михалков никита	S,фам,муж,од=им,ед S,имя,муж,од=им,ед 	0
